,title,basesalary,bonus,LevelBucket,region
16544,Software Engineer,194000,13000,Senior,West
16545,Software Engineer,59000,3000,Entry,Southern
16546,Software Engineer,109000,4000,Associate,MidWest
16547,Product Manager,241000,81000,Entry,East
16548,Software Engineer,165000,0,Senior,Southern
16549,Software Engineer,210000,19000,Associate,West
16550,Product Manager,106000,2000,Associate,West
16551,Software Engineer,107000,4000,Entry,West
16552,Software Engineer,226000,21000,Mid,West
16553,Software Engineer,172000,56000,Senior,West
16554,Software Engineer,155000,0,Associate,West
16555,Software Engineer,217000,0,Senior,West
16556,Software Engineer,78000,2000,Mid,Southern
16557,Software Engineer,158000,70000,Mid,West
16559,Software Engineer,92000,0,Associate,West
16560,Data Scientist,197000,29000,Senior,West
16561,Data Scientist,265000,0,Associate,West
16562,Software Engineer,212000,0,Associate,West
16563,Software Engineer,142000,35000,Associate,East
16564,Product Manager,43000,5000,Mid,
16565,Software Engineer,47000,30000,Entry,
16566,Product Manager,69000,6000,Senior,
16567,Software Engineer,74000,9000,Associate,East
16568,Software Engineer,199000,15000,Associate,West
16569,Software Engineer,82000,13000,Entry,West
16570,Software Engineer,146000,11000,Senior,West
16571,Software Engineer,123000,0,Mid,West
16572,Software Engineer,266000,22000,Associate,West
16573,Software Engineer,94000,14000,Entry,East
16574,Software Engineer,78000,8000,Mid,West
16575,Software Engineer,101000,3000,Senior,
16576,Software Engineer,223000,23000,Mid,West
16577,Software Engineer,111000,29000,Senior,West
16578,Software Engineer,211000,13000,Mid,West
16579,Software Engineer,146000,22000,Mid,East
16580,Software Engineer,100000,0,Mid,West
16581,Software Engineer,136000,4000,Senior,West
16582,Software Engineer,137000,0,Associate,Southern
16583,Software Engineer,180000,0,Associate,East
16584,Software Engineer,141000,38000,Mid,West
16585,Software Engineer,99000,14000,Entry,West
16586,Software Engineering Manager,174000,35000,Mid,West
16587,Software Engineer,188000,26000,Associate,West
16588,Software Engineer,105000,0,Associate,West
16589,Software Engineer,205000,30000,Mid,Southern
16590,Software Engineer,261000,43000,Mid,West
16591,Software Engineer,117000,16000,Mid,West
16592,Software Engineer,106000,16000,Associate,West
16593,Software Engineering Manager,245000,0,Associate,Southern
16594,Software Engineer,174000,54000,Associate,East
16595,Data Scientist,135000,25000,Associate,West
16596,Software Engineer,92000,41000,Senior,East
16597,Software Engineer,194000,28000,Senior,East
16598,Software Engineer,81000,3000,Entry,MidWest
16599,Software Engineer,214000,0,Associate,East
16600,Software Engineer,116000,71000,Associate,West
16601,Software Engineer,157000,20000,Associate,MidWest
16602,Software Engineer,94000,0,Associate,East
16604,Product Designer,242000,52000,Mid,West
16605,Product Manager,181000,15000,Associate,West
16606,Software Engineer,78000,17000,Entry,West
16607,Software Engineer,105000,0,Associate,West
16609,Product Manager,248000,33000,Associate,West
16610,Software Engineer,58000,17000,Entry,West
16611,Software Engineer,110000,16000,Entry,West
16612,Software Engineer,104000,37000,Mid,West
16613,Software Engineer,202000,19000,Senior,West
16614,Software Engineer,144000,0,Associate,West
16615,Product Manager,122000,70000,Mid,Southern
16616,Software Engineer,163000,33000,Senior,West
16617,Software Engineer,145000,39000,Mid,West
16618,Software Engineer,78000,10000,Entry,
16619,Software Engineer,154000,13000,Associate,
16620,Software Engineer,57000,0,Entry,
16621,Software Engineer,191000,50000,Associate,West
16622,Software Engineer,111000,14000,Senior,West
16623,Software Engineer,97000,13000,Associate,West
16624,Software Engineering Manager,232000,26000,Senior,West
16626,Software Engineer,113000,38000,Associate,East
16629,Software Engineer,127000,1000,Entry,Southern
16630,Software Engineer,115000,0,Associate,West
16631,Software Engineer,146000,67000,Associate,West
16632,Software Engineer,77000,8000,Entry,West
16633,Solution Architect,236000,85000,Senior,
16634,Data Scientist,71000,25000,Associate,West
16635,Software Engineer,165000,22000,Entry,East
16636,Software Engineering Manager,90000,12000,Mid,
16637,Software Engineer,170000,29000,Senior,West
16638,Software Engineer,162000,8000,Entry,West
16640,Product Designer,186000,0,Senior,West
16641,Software Engineer,145000,19000,Senior,West
16642,Software Engineer,69000,8000,Associate,
16643,Software Engineer,105000,9000,Senior,East
16644,Data Scientist,239000,18000,Associate,West
16645,Product Manager,142000,41000,Associate,West
16646,Software Engineer,171000,12000,Associate,West
16647,Product Manager,90000,72000,Associate,West
16648,Software Engineer,84000,13000,Associate,West
16649,Software Engineer,164000,69000,Entry,West
16650,Software Engineer,87000,20000,Senior,West
16651,Product Manager,71000,14000,Entry,West
16652,Software Engineer,211000,0,Associate,West
16653,Software Engineer,219000,0,Mid,West
16654,Software Engineer,130000,9000,Associate,West
16655,Software Engineer,87000,15000,Entry,West
16656,Product Manager,118000,86000,Senior,East
16657,Software Engineer,115000,0,Associate,West
16658,Data Scientist,209000,1000,Mid,Southern
16659,Software Engineer,107000,0,Associate,West
16660,Software Engineer,69000,11000,Mid,East
16661,Data Scientist,105000,0,Mid,West
16662,Software Engineer,147000,14000,Associate,East
16663,Software Engineer,178000,42000,Associate,West
16664,Software Engineer,129000,0,Entry,West
16665,Software Engineer,130000,0,Senior,West
16666,Software Engineer,111000,6000,Associate,West
16667,Software Engineer,188000,9000,Associate,West
16668,Software Engineer,74000,0,Associate,West
16669,Software Engineer,94000,26000,Associate,West
16670,Software Engineer,156000,0,Senior,West
16671,Software Engineer,152000,0,Associate,West
16672,Software Engineer,105000,25000,Mid,West
16673,Software Engineer,179000,33000,Mid,West
16674,Software Engineer,201000,0,Mid,West
16675,Software Engineer,193000,43000,Associate,West
16676,Product Manager,209000,21000,Entry,West
16677,Software Engineer,122000,0,Entry,Southern
16678,Software Engineer,181000,0,Entry,West
16679,Software Engineer,87000,17000,Associate,East
16680,Software Engineer,102000,11000,Entry,West
16681,Software Engineer,215000,27000,Associate,East
16682,Software Engineer,106000,0,Entry,West
16683,Software Engineer,124000,13000,Associate,West
16684,Product Manager,139000,9000,Entry,West
16685,Software Engineer,98000,0,Associate,East
16686,Product Manager,182000,15000,Associate,West
16687,Solution Architect,118000,25000,Senior,West
16688,Software Engineer,37000,7000,Associate,Southern
16689,Software Engineer,217000,0,Mid,West
16690,Software Engineer,53000,21000,Associate,West
16691,Product Designer,167000,13000,Associate,West
16692,Data Scientist,141000,94000,Senior,West
16693,Software Engineer,90000,0,Mid,West
16694,Software Engineer,186000,10000,Mid,West
16695,Software Engineer,216000,20000,Mid,West
16696,Software Engineer,156000,19000,Associate,East
16697,Hardware Engineer,184000,11000,Mid,West
16698,Software Engineer,87000,10000,Entry,West
16699,Software Engineer,73000,27000,Entry,West
16700,Software Engineer,163000,38000,Senior,East
16701,Software Engineer,89000,33000,Entry,West
16702,Software Engineer,77000,0,Entry,Southern
16703,Product Manager,168000,38000,Mid,West
16704,Software Engineer,172000,0,Mid,West
16705,Software Engineer,65000,12000,Associate,East
16706,Product Manager,124000,5000,Entry,West
16707,Software Engineer,89000,0,Mid,Southern
16708,Software Engineer,127000,0,Associate,West
16709,Software Engineer,91000,20000,Mid,West
16710,Hardware Engineer,198000,29000,Associate,West
16711,Product Manager,113000,12000,Associate,West
16712,Software Engineer,88000,15000,Associate,West
16713,Software Engineer,132000,0,Entry,West
16714,Hardware Engineer,103000,10000,Associate,Southern
16715,Software Engineer,231000,25000,Associate,East
16716,Software Engineer,207000,10000,Associate,West
16717,Software Engineer,23000,6000,Mid,
16718,Software Engineer,122000,0,Associate,East
16719,Software Engineer,129000,8000,Senior,
16720,Software Engineer,87000,17000,Entry,East
16721,Software Engineer,108000,12000,Entry,East
16724,Software Engineer,61000,0,Associate,
16725,Software Engineer,146000,86000,Senior,West
16726,Product Manager,216000,0,Associate,West
16727,Software Engineer,144000,27000,Mid,West
16728,Software Engineer,72000,39000,Entry,West
16729,Software Engineer,84000,13000,Associate,West
16730,Product Designer,72000,10000,Associate,West
16731,Product Manager,238000,92000,Mid,West
16732,Product Designer,86000,7000,Associate,West
16733,Product Manager,172000,59000,Senior,West
16734,Software Engineer,123000,11000,Entry,West
16735,Software Engineer,74000,0,Entry,Southern
16736,Software Engineer,173000,9000,Mid,Southern
16737,Software Engineer,183000,0,Senior,East
16738,Product Manager,105000,9000,Associate,MidWest
16739,Software Engineer,98000,3000,Mid,East
16740,Software Engineer,108000,9000,Entry,East
16741,Software Engineer,168000,14000,Mid,West
16742,Software Engineer,187000,0,Mid,West
16743,Software Engineer,83000,0,Entry,West
16744,Software Engineer,89000,23000,Senior,East
16745,Software Engineer,148000,13000,Entry,West
16746,Software Engineer,63000,31000,Entry,East
16748,Software Engineer,142000,43000,Mid,West
16749,Software Engineer,97000,15000,Entry,West
16750,Hardware Engineer,95000,0,Mid,West
16751,Software Engineer,121000,45000,Mid,West
16752,Software Engineering Manager,243000,56000,Senior,West
16753,Hardware Engineer,191000,26000,Associate,West
16754,Software Engineer,79000,17000,Entry,West
16755,Software Engineer,172000,53000,Senior,West
16756,Product Manager,174000,0,Senior,West
16757,Software Engineer,198000,48000,Associate,West
16758,Software Engineer,84000,16000,Associate,
16759,Software Engineer,153000,18000,Associate,West
16760,Software Engineer,65000,38000,Entry,West
16761,Software Engineer,47000,3000,Entry,
16762,Software Engineer,147000,10000,Associate,West
16763,Data Scientist,114000,15000,Entry,
16764,Software Engineer,110000,23000,Senior,West
16765,Hardware Engineer,184000,35000,Associate,West
16766,Marketing,196000,29000,Mid,West
16767,Product Manager,179000,0,Mid,West
16768,Software Engineer,108000,8000,Entry,West
16769,Software Engineer,105000,0,Senior,West
16770,Software Engineering Manager,237000,0,Mid,Southern
16771,Software Engineer,183000,23000,Associate,East
16772,Software Engineer,94000,5000,Entry,West
16773,Software Engineer,108000,34000,Entry,East
16775,Product Manager,84000,6000,Associate,West
16777,Hardware Engineer,184000,10000,Associate,West
16778,Software Engineer,101000,0,Entry,Southern
16779,Software Engineer,74000,6000,Entry,East
16780,Software Engineer,183000,0,Associate,West
16781,Software Engineer,151000,36000,Associate,West
16782,Software Engineer,110000,0,Entry,West
16783,Software Engineering Manager,126000,40000,Senior,West
16784,Product Designer,96000,0,Senior,West
16785,Solution Architect,182000,51000,Senior,East
16786,Software Engineer,69000,9000,Associate,West
16787,Software Engineer,66000,7000,Associate,West
16788,Data Scientist,89000,13000,Entry,West
16790,Software Engineer,130000,14000,Mid,Southern
16791,Software Engineer,96000,22000,Mid,
16792,Software Engineer,120000,5000,Associate,West
16793,Software Engineer,84000,31000,Associate,West
16795,Software Engineer,86000,0,Associate,West
16796,Software Engineer,103000,21000,Associate,West
16797,Software Engineer,164000,29000,Associate,West
16798,Product Manager,256000,47000,Mid,
16799,Product Designer,143000,5000,Entry,West
16800,Product Manager,218000,16000,Mid,West
16801,Software Engineer,202000,56000,Mid,Southern
16802,Software Engineer,165000,27000,Associate,West
16803,Software Engineer,206000,13000,Mid,West
16804,Software Engineer,164000,0,Entry,East
16805,Software Engineer,53000,2000,Entry,
16807,Hardware Engineer,225000,19000,Associate,West
16808,Software Engineer,165000,21000,Associate,MidWest
16809,Recruiter,112000,13000,Mid,West
16810,Software Engineer,142000,13000,Entry,West
16811,Software Engineer,141000,1000,Entry,MidWest
16812,Hardware Engineer,193000,44000,Mid,West
16813,Software Engineer,122000,16000,Entry,West
16814,Software Engineer,105000,24000,Mid,Southern
16815,Data Scientist,113000,0,Mid,
16816,Hardware Engineer,90000,1000,Entry,East
16817,Software Engineering Manager,126000,56000,Mid,West
16818,Software Engineer,92000,0,Senior,Southern
16819,Hardware Engineer,72000,36000,Mid,West
16820,Software Engineering Manager,118000,0,Senior,West
16821,Software Engineer,172000,9000,Associate,West
16822,Hardware Engineer,230000,23000,Senior,West
16823,Software Engineer,121000,24000,Mid,West
16824,Software Engineering Manager,86000,36000,Mid,West
16825,Software Engineer,152000,40000,Associate,West
16826,Software Engineer,150000,11000,Associate,West
16827,Software Engineer,209000,34000,Mid,West
16828,Software Engineer,64000,20000,Mid,West
16829,Product Manager,182000,10000,Senior,Southern
16830,Hardware Engineer,117000,18000,Associate,West
16831,Solution Architect,96000,0,Mid,MidWest
16832,Software Engineer,99000,52000,Entry,East
16833,Data Scientist,255000,20000,Senior,East
16834,Data Scientist,112000,44000,Associate,East
16836,Software Engineer,75000,12000,Entry,West
16837,Solution Architect,168000,49000,Senior,West
16838,Software Engineer,92000,17000,Senior,West
16839,Software Engineer,174000,30000,Entry,West
16840,Software Engineer,62000,14000,Entry,West
16841,Software Engineer,146000,10000,Entry,West
16842,Data Scientist,246000,24000,Mid,West
16843,Software Engineer,123000,0,Associate,West
16844,Software Engineer,146000,15000,Mid,West
16845,Software Engineering Manager,181000,80000,Senior,West
16846,Software Engineer,83000,0,Entry,West
16847,Software Engineer,196000,17000,Entry,West
16848,Software Engineer,181000,13000,Mid,West
16849,Software Engineer,203000,16000,Associate,West
16850,Product Manager,212000,33000,Senior,
16851,Software Engineer,90000,42000,Associate,
16852,Data Scientist,125000,19000,Senior,East
16853,Software Engineer,107000,0,Mid,West
16854,Software Engineer,153000,31000,Senior,West
16855,Product Manager,230000,0,Senior,
16856,Software Engineer,176000,30000,Senior,Southern
16857,Software Engineer,135000,10000,Mid,MidWest
16858,Software Engineer,183000,17000,Associate,West
16859,Software Engineer,24000,2000,Associate,
16860,Software Engineer,222000,30000,Senior,East
16861,Software Engineer,148000,0,Associate,West
16862,Software Engineering Manager,218000,27000,Senior,West
16863,Software Engineer,130000,0,Associate,East
16864,Software Engineering Manager,85000,1000,Senior,Southern
16865,Software Engineer,109000,9000,Associate,West
16866,Software Engineer,188000,32000,Associate,West
16867,Software Engineer,170000,16000,Senior,West
16868,Software Engineer,83000,40000,Entry,Southern
16869,Software Engineer,157000,16000,Associate,West
16870,Software Engineer,216000,0,Senior,West
16871,Software Engineer,65000,0,Senior,
16872,Software Engineer,219000,54000,Senior,West
16873,Software Engineer,80000,39000,Associate,West
16874,Product Manager,238000,0,Associate,West
16875,Software Engineer,154000,12000,Entry,West
16876,Software Engineer,176000,8000,Associate,West
16877,Software Engineer,102000,0,Associate,Southern
16879,Software Engineer,124000,0,Associate,Southern
16881,Product Manager,153000,69000,Senior,West
16882,Software Engineer,190000,11000,Associate,West
16883,Software Engineer,81000,35000,Mid,Southern
16884,Software Engineer,101000,4000,Associate,East
16885,Software Engineer,177000,81000,Mid,West
16886,Software Engineering Manager,142000,50000,Senior,West
16887,Software Engineer,155000,5000,Mid,West
16888,Software Engineer,242000,15000,Senior,West
16889,Software Engineer,131000,49000,Senior,West
16890,Software Engineer,186000,0,Senior,West
16891,Software Engineer,59000,7000,Associate,West
16892,Software Engineer,127000,15000,Associate,West
16893,Solution Architect,232000,0,Mid,West
16894,Software Engineer,128000,17000,Mid,West
16895,Software Engineer,145000,5000,Entry,West
16896,Software Engineer,163000,0,Associate,West
16897,Software Engineer,65000,8000,Mid,West
16898,Software Engineer,115000,10000,Associate,West
16899,Software Engineer,122000,22000,Associate,West
16900,Software Engineer,79000,1000,Associate,
16902,Software Engineer,188000,21000,Mid,West
16903,Software Engineer,76000,24000,Mid,West
16904,Software Engineer,108000,0,Mid,
16905,Software Engineer,251000,0,Mid,West
16906,Software Engineering Manager,62000,9000,Mid,
16907,Software Engineering Manager,119000,27000,Senior,West
16908,Software Engineer,210000,27000,Associate,East
16909,Software Engineer,23000,0,Associate,
16910,Product Designer,91000,0,Associate,Southern
16911,Software Engineer,120000,19000,Associate,
16912,Software Engineer,92000,6000,Associate,
16913,Software Engineer,166000,24000,Associate,East
16914,Software Engineering Manager,207000,18000,Mid,West
16915,Data Scientist,197000,25000,Associate,West
16916,Software Engineer,168000,23000,Senior,West
16917,Hardware Engineer,228000,26000,Mid,West
16918,Software Engineer,132000,10000,Mid,West
16919,Software Engineer,157000,0,Entry,West
16921,Software Engineer,136000,0,Associate,MidWest
16922,Software Engineer,69000,0,Mid,West
16923,Software Engineer,164000,0,Associate,West
16924,Software Engineer,161000,14000,Entry,West
16925,Software Engineer,98000,0,Associate,West
16926,Software Engineer,97000,13000,Associate,
16927,Software Engineer,140000,20000,Senior,
16929,Software Engineer,98000,11000,Senior,West
16930,Hardware Engineer,195000,21000,Associate,West
16931,Software Engineer,182000,29000,Associate,East
16932,Hardware Engineer,179000,24000,Senior,Southern
16933,Software Engineer,104000,12000,Mid,West
16934,Product Manager,175000,0,Associate,West
16935,Software Engineer,232000,15000,Mid,West
16936,Software Engineer,160000,32000,Entry,West
16937,Software Engineering Manager,103000,18000,Mid,West
16938,Software Engineer,85000,11000,Entry,West
16939,Software Engineer,197000,0,Mid,East
16940,Software Engineer,182000,3000,Mid,East
16941,Software Engineer,159000,26000,Associate,East
16942,Software Engineering Manager,171000,0,Mid,East
16943,Product Manager,102000,18000,Senior,West
16944,Software Engineer,203000,36000,Senior,East
16945,Software Engineer,96000,16000,Associate,West
16946,Data Scientist,130000,10000,Associate,
16947,Software Engineer,142000,15000,Senior,West
16948,Software Engineer,75000,0,Associate,West
16949,Software Engineer,148000,0,Associate,West
16950,Software Engineer,132000,7000,Entry,West
16951,Software Engineer,108000,0,Associate,Southern
16952,Product Manager,238000,35000,Senior,West
16953,Software Engineer,99000,22000,Associate,West
16954,Software Engineer,103000,9000,Senior,West
16955,Software Engineer,202000,23000,Associate,West
16956,Software Engineer,196000,0,Associate,West
16957,Software Engineer,251000,30000,Senior,West
16958,Software Engineer,155000,31000,Associate,West
16959,Software Engineer,85000,19000,Senior,
16960,Software Engineer,128000,11000,Associate,MidWest
16961,Software Engineer,135000,9000,Associate,Southern
16962,Software Engineer,196000,87000,Mid,West
16963,Software Engineer,158000,22000,Senior,East
16964,Software Engineer,88000,19000,Associate,West
16965,Software Engineer,135000,11000,Associate,East
16966,Software Engineer,166000,0,Senior,West
16967,Software Engineering Manager,224000,19000,Senior,Southern
16968,Software Engineer,106000,17000,Senior,West
16969,Software Engineer,82000,35000,Entry,Southern
16971,Software Engineering Manager,137000,0,Senior,West
16972,Software Engineer,96000,0,Senior,West
16973,Software Engineer,142000,36000,Entry,West
16974,Software Engineer,116000,35000,Senior,Southern
16975,Software Engineer,106000,0,Associate,
16976,Solution Architect,184000,44000,Senior,West
16977,Software Engineer,99000,5000,Mid,
16978,Software Engineering Manager,75000,0,Mid,
16979,Software Engineer,86000,36000,Associate,Southern
16980,Solution Architect,130000,11000,Mid,East
16981,Software Engineer,90000,1000,Associate,
16982,Software Engineer,160000,0,Associate,West
16983,Software Engineer,240000,43000,Associate,West
16984,Software Engineer,108000,0,Associate,West
16985,Software Engineering Manager,119000,35000,Senior,East
16986,Software Engineer,161000,6000,Entry,East
16987,Software Engineer,106000,5000,Mid,Southern
16988,Software Engineer,83000,27000,Senior,West
16989,Software Engineering Manager,153000,43000,Senior,West
16990,Software Engineer,97000,0,Associate,West
16991,Software Engineer,107000,7000,Associate,
16992,Software Engineer,207000,14000,Mid,East
16993,Software Engineer,84000,19000,Senior,East
16994,Software Engineering Manager,187000,0,Senior,West
16995,Software Engineer,112000,15000,Senior,West
16996,Software Engineering Manager,133000,24000,Mid,West
16997,Software Engineer,122000,29000,Senior,East
16998,Software Engineer,169000,69000,Senior,East
16999,Software Engineer,112000,0,Associate,West
17000,Software Engineer,109000,16000,Senior,West
17001,Software Engineer,242000,41000,Mid,West
17002,Software Engineering Manager,126000,0,Mid,West
17003,Software Engineer,109000,0,Mid,West
17004,Software Engineer,78000,0,Associate,West
17005,Software Engineer,96000,12000,Associate,
17006,Software Engineer,199000,71000,Associate,West
17007,Hardware Engineer,185000,21000,Mid,West
17008,Software Engineer,41000,3000,Associate,
17009,Software Engineer,88000,37000,Associate,East
17010,Software Engineer,127000,19000,Associate,West
17011,Product Manager,108000,12000,Associate,East
17012,Software Engineer,164000,0,Senior,West
17013,Software Engineering Manager,205000,37000,Senior,West
17014,Software Engineer,155000,24000,Associate,East
17015,Product Manager,148000,53000,Mid,West
17016,Software Engineer,163000,0,Entry,West
17017,Software Engineer,195000,8000,Entry,West
17018,Software Engineer,205000,6000,Mid,West
17019,Software Engineer,126000,0,Mid,East
17020,Software Engineer,114000,14000,Entry,East
17021,Software Engineer,96000,11000,Entry,East
17022,Product Manager,171000,30000,Associate,West
17023,Software Engineer,138000,9000,Associate,East
17024,Software Engineer,64000,15000,Mid,East
17025,Software Engineer,56000,15000,Entry,East
17026,Product Manager,36000,4000,Entry,East
17027,Software Engineer,120000,10000,Mid,East
17028,Software Engineer,218000,43000,Senior,West
17029,Software Engineer,125000,2000,Entry,West
17030,Software Engineer,175000,21000,Senior,Southern
17031,Hardware Engineer,165000,14000,Senior,West
17032,Software Engineer,132000,34000,Senior,West
17033,Hardware Engineer,172000,12000,Senior,West
17034,Software Engineer,164000,51000,Mid,MidWest
17035,Software Engineer,99000,5000,Associate,MidWest
17036,Software Engineer,93000,20000,Associate,West
17037,Software Engineer,166000,36000,Mid,East
17038,Software Engineer,52000,15000,Entry,
17039,Software Engineer,123000,0,Mid,West
17040,Software Engineer,228000,31000,Mid,East
17041,Software Engineer,123000,8000,Entry,
17042,Data Scientist,180000,16000,Associate,Southern
17043,Product Designer,126000,13000,Associate,West
17044,Software Engineering Manager,199000,0,Senior,Southern
17045,Software Engineer,146000,18000,Mid,West
17046,Software Engineer,67000,13000,Associate,West
17047,Software Engineer,76000,5000,Entry,West
17048,Software Engineer,190000,20000,Associate,West
17049,Software Engineer,218000,23000,Senior,Southern
17050,Software Engineer,59000,0,Associate,MidWest
17051,Software Engineering Manager,128000,48000,Mid,West
17052,Software Engineer,189000,9000,Mid,West
17053,Software Engineer,80000,4000,Associate,West
17054,Software Engineer,75000,9000,Mid,Southern
17055,Software Engineer,85000,16000,Entry,West
17056,Software Engineer,100000,7000,Associate,West
17058,Software Engineer,184000,19000,Associate,West
17059,Software Engineer,145000,0,Associate,West
17060,Product Manager,121000,0,Senior,West
17061,Data Scientist,21000,9000,Entry,
17062,Software Engineer,116000,5000,Associate,West
17063,Software Engineer,241000,0,Mid,East
17064,Data Scientist,120000,12000,Associate,East
17065,Solution Architect,148000,0,Senior,
17066,Data Scientist,53000,0,Associate,East
17067,Hardware Engineer,113000,15000,Associate,West
17068,Product Manager,160000,0,Associate,
17069,Software Engineer,76000,30000,Entry,Southern
17070,Hardware Engineer,154000,43000,Mid,West
17071,Software Engineer,92000,8000,Associate,
17072,Software Engineer,194000,35000,Associate,West
17073,Software Engineer,177000,65000,Senior,West
17075,Software Engineer,230000,34000,Senior,West
17076,Software Engineer,76000,35000,Associate,
17077,Software Engineer,126000,0,Associate,Southern
17078,Software Engineer,67000,21000,Associate,West
17079,Software Engineer,116000,20000,Associate,West
17080,Software Engineer,197000,19000,Senior,West
17081,Software Engineer,62000,4000,Entry,
17082,Software Engineer,184000,8000,Mid,Southern
17083,Software Engineer,197000,9000,Associate,West
17084,Software Engineer,213000,18000,Associate,West
17085,Software Engineer,97000,8000,Entry,East
17086,Software Engineer,78000,20000,Associate,West
17087,Software Engineer,169000,25000,Mid,West
17088,Software Engineer,182000,0,Senior,West
17089,Product Designer,92000,3000,Associate,West
17090,Software Engineer,173000,16000,Senior,West
17091,Solution Architect,217000,54000,Senior,MidWest
17092,Software Engineer,83000,9000,Associate,Southern
17094,Software Engineer,88000,29000,Mid,West
17095,Software Engineer,93000,13000,Associate,Southern
17096,Solution Architect,244000,73000,Mid,West
17097,Software Engineer,191000,37000,Senior,West
17098,Software Engineer,114000,13000,Entry,West
17099,Software Engineer,140000,47000,Senior,West
17100,Software Engineer,123000,19000,Associate,West
17101,Software Engineer,180000,23000,Senior,West
17102,Software Engineer,137000,31000,Associate,West
17103,Product Manager,147000,0,Associate,East
17104,Software Engineering Manager,208000,28000,Senior,West
17106,Software Engineer,115000,6000,Mid,MidWest
17107,Software Engineer,186000,31000,Senior,West
17108,Software Engineer,126000,26000,Senior,West
17109,Hardware Engineer,183000,21000,Mid,West
17110,Software Engineer,200000,19000,Associate,West
17111,Data Scientist,138000,75000,Senior,West
17112,Product Manager,152000,0,Senior,West
17113,Data Scientist,120000,8000,Associate,West
17114,Software Engineer,37000,2000,Associate,
17115,Software Engineer,64000,25000,Entry,West
17116,Software Engineer,213000,0,Senior,West
17117,Software Engineer,100000,9000,Associate,Southern
17118,Software Engineer,165000,0,Senior,East
17119,Software Engineer,160000,11000,Entry,East
17120,Product Designer,168000,0,Associate,West
17121,Software Engineer,49000,9000,Senior,
17122,Software Engineer,139000,6000,Entry,West
17123,Software Engineer,117000,15000,Entry,East
17124,Software Engineer,163000,10000,Associate,MidWest
17125,Software Engineer,124000,26000,Associate,West
17126,Software Engineer,76000,15000,Associate,West
17127,Software Engineer,235000,36000,Senior,West
17128,Software Engineer,233000,13000,Mid,West
17129,Software Engineer,102000,17000,Entry,West
17130,Software Engineer,121000,65000,Associate,West
17131,Software Engineer,87000,16000,Associate,
17132,Software Engineer,247000,8000,Associate,West
17133,Software Engineer,183000,5000,Entry,West
17134,Software Engineer,189000,13000,Senior,
17135,Software Engineer,128000,47000,Associate,West
17136,Software Engineer,185000,10000,Mid,West
17137,Software Engineer,130000,19000,Senior,
17138,Software Engineer,147000,32000,Mid,West
17139,Software Engineer,261000,0,Mid,East
17140,Software Engineer,122000,12000,Senior,West
17141,Product Manager,90000,0,Associate,West
17143,Software Engineer,90000,0,Associate,
17144,Software Engineering Manager,105000,0,Senior,
17145,Software Engineer,133000,3000,Entry,Southern
17147,Software Engineer,76000,15000,Associate,West
17149,Software Engineer,94000,40000,Associate,
17150,Software Engineer,202000,0,Associate,West
17151,Software Engineer,183000,43000,Mid,West
17152,Software Engineer,93000,23000,Entry,West
17153,Hardware Engineer,77000,9000,Associate,West
17154,Software Engineer,188000,7000,Associate,West
17155,Software Engineering Manager,95000,60000,Senior,East
17156,Software Engineer,169000,1000,Mid,Southern
17157,Software Engineer,88000,29000,Associate,West
17158,Software Engineer,106000,19000,Entry,West
17159,Software Engineer,135000,0,Associate,East
17160,Software Engineer,209000,0,Senior,West
17161,Software Engineer,193000,27000,Mid,West
17162,Product Designer,217000,17000,Associate,West
17163,Software Engineer,90000,15000,Associate,West
17164,Software Engineer,52000,0,Associate,
17165,Software Engineer,59000,12000,Entry,West
17166,Software Engineer,121000,85000,Mid,West
17167,Software Engineer,73000,6000,Entry,East
17168,Software Engineer,136000,1000,Entry,MidWest
17169,Software Engineer,83000,3000,Associate,Southern
17170,Software Engineer,74000,13000,Entry,East
17171,Software Engineer,137000,21000,Mid,West
17172,Software Engineer,98000,10000,Associate,West
17173,Software Engineer,162000,18000,Associate,East
17174,Software Engineering Manager,167000,69000,Senior,West
17175,Software Engineer,255000,10000,Senior,MidWest
17176,Product Designer,48000,7000,Mid,
17177,Software Engineer,57000,10000,Entry,MidWest
17178,Software Engineer,130000,7000,Associate,West
17179,Software Engineer,72000,0,Entry,MidWest
17180,Software Engineering Manager,92000,17000,Associate,MidWest
17181,Software Engineer,189000,0,Associate,West
17182,Software Engineer,84000,1000,Entry,MidWest
17184,Software Engineer,127000,18000,Senior,Southern
17185,Software Engineer,115000,18000,Associate,West
17186,Software Engineer,28000,0,Mid,
17188,Software Engineer,89000,3000,Mid,
17189,Software Engineer,224000,37000,Mid,West
17190,Software Engineer,108000,30000,Associate,Southern
17191,Software Engineer,23000,0,Mid,
17192,Software Engineer,168000,0,Senior,West
17193,Software Engineer,133000,11000,Entry,West
17194,Software Engineer,68000,14000,Mid,
17195,Software Engineer,104000,0,Associate,East
17196,Software Engineer,192000,11000,Associate,West
17197,Software Engineer,163000,14000,Mid,East
17198,Software Engineer,81000,17000,Associate,
17199,Software Engineer,193000,0,Mid,West
17200,Software Engineer,125000,0,Mid,West
17201,Software Engineer,58000,0,Associate,Southern
17202,Software Engineer,169000,13000,Entry,West
17203,Software Engineer,193000,0,Mid,West
17204,Software Engineer,109000,11000,Entry,East
17205,Software Engineer,156000,24000,Entry,East
17206,Software Engineering Manager,179000,0,Senior,East
